,email,category,message
13,DennisStephens@yahoo.com,spam   ,"Urgent UR awarded a complimentary trip to EuroDisinc Trav"", Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ,,,,,,,,,,,"
14,Mario3485@yahoo.com,spam   ,"Did you hear about the new """"Divorce Barbie""""? It comes with all of Ken's stuff!"",,,,,,,,,,,,,"
15,KennethOakes@gmail.com,spam   ,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!"",,,,,,,,,,,,,"
16,Naomi.Ramirez@vitstudent.ac.in,spam   ,"Your free ringtone is waiting to be collected. Simply text the password """"MIX"""" to 85069 to verify. Get Usher and Britney. FML"", PO Box 5249, MK17 92H. 450Ppw 16,,,,,,,,,,,"
17,Janice7760@vitstudent.ac.in,spam   ,"GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm"",,,,,,,,,,,,,"
18,Marie4748@vitstudent.ac.in,spam   ,"You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) "",,,,,,,,,,,,,"
19,AmyFlatt@hotmail.com,spam   ,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires"",,,,,,,,,,,,,"
20,Cassandra.Barth@hotmail.com,spam   ,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C"", 150PPM,,,,,,,,,,,,"
21,Randy4408@yahoo.com,spam   ,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app"",,,,,,,,,,,,,"
22,Willie.Woods@gmail.com,spam   ,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone"",,,,,,,,,,,,,"
23,CharlieTenneson@gmail.com,spam   ,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p"",,,,,,,,,,,,,"
24,Olivia.Kramer@gmail.com,spam   ,"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again"",,,,,,,,,,,,,"
25,Charles183@vitstudent.ac.in,spam   ,"FreeMsg Why haven't you replied to my text? I'm Randy"", sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end,,,,,,,,,,,"
26,Pamela.Hogan@vitstudent.ac.in,spam   ,"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery"",,,,,,,,,,,,,"
27,Marquerite5808@yahoo.com,spam   ,"You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810"",,,,,,,,,,,,,"
28,DanielGreer@hotmail.com,spam   ,"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468"",,,,,,,,,,,,,"
29,Martha.Hodges@gmail.com,spam   ,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not"", GoTo wap. bangb. tv on UR mobile internet/service menu,,,,,,,,,,,,"
30,Denise.Resner@yahoo.com,spam   ,"URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only"",,,,,,,,,,,,,"
31,Tracy6267@vitstudent.ac.in,spam   ,"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!"",,,,,,,,,,,,,"
32,JoeSims@yahoo.com,spam   ,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk"",,,,,,,,,,,,,"
33,JamesWoodworth@yahoo.com,spam   ,"500 New Mobiles from 2004"", MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18,,,,,,,,,,,,"
34,Larry.Cody@gmail.com,spam   ,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free"", txt HORO followed by ur star sign, e. g. HORO ARIES,,,,,,,,,,,"
35,Rose.Choi@gmail.com,spam   ,"Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence"",,,,,,,,,,,,,"
36,David.Frederick@hotmail.com,spam   ,"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597"",,,,,,,,,,,,,"
37,PhyllisGonzalez@vitstudent.ac.in,spam   ,"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"",,,,,,,,,,,,,"
38,Carol2199@gmail.com,spam   ,"We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW"",,,,,,,,,,,,,"
39,KeithQuintana@gmail.com,spam   ,"Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698"",,,,,,,,,,,,,"
40,James4543@gmail.com,spam   ,"Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT"",,,,,,,,,,,,,"
41,Mammie1297@yahoo.com,spam   ,"Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge."",,,,,,,,,,,,,"
42,Teresa.Thady@vitstudent.ac.in,spam   ,"HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"",,,,,,,,,,,,,"
43,Erica.Bateman@gmail.com,spam   ,"T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply"",,,,,,,,,,,,,"
44,JavierHowe@yahoo.com,spam   ,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen"", United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE,,,,,,,,,,,,"
45,DavidCotto@gmail.com,spam   ,"TheMob> Check out our newest selection of content"", Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468,,,,,,,,"
46,Daniel173@yahoo.com,spam   ,"Think ur smart ? Win Â£200 this week in our weekly quiz"", text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week,,,,,,,,,,,"
47,ChristopherHurley@yahoo.com,spam   ,"December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906"",,,,,,,,,,,,,"
48,CraigIler@yahoo.com,spam   ,"Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!"",,,,,,,,,,,,,"
49,MartinYan@gmail.com,spam   ,"Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201."",,,,,,,,,,,,,"
50,Claude5382@vitstudent.ac.in,spam   ,"Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X"",,,,,,,,,,,,,"
51,Ethel.Brafman@gmail.com,spam   ,"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"",,,,,,,,,,,,,"
52,Dolores.Merrick@yahoo.com,spam   ,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL"",,,,,,,,,,,,,"
53,Beth8647@yahoo.com,spam   ,"Update_Now - Xmas Offer! Latest Motorola"", SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=,,,,,,,,,,,,"
54,Betty1259@vitstudent.ac.in,spam   ,"Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546"",,,,,,,,,,,,,"
55,SusanWilliamson@vitstudent.ac.in,spam   ,"Thanks for your Ringtone Order"", Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994,,,,,,,,,,,,"
56,LorenFurches@vitstudent.ac.in,spam   ,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony"", Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX,,,,,,,,,,,,"
57,Carla.Solis@hotmail.com,spam   ,"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt"",,,,,,,,,,,,,"
58,Myrtie.Baines@gmail.com,spam   ,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free"", tones are 3xÂ£150pw to eÂ£nd txt stop,,,,,,,,,,,,"
59,Lorraine1394@hotmail.com,spam   ,"100 dating service cal;l 09064012103 box334sk38ch"",,,,,,,,,,,,,"
60,Vicki.Laws@vitstudent.ac.in,spam   ,"FREE entry into our Â£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk"",,,,,,,,,,,,,"
61,June.Greer@vitstudent.ac.in,spam   ,"Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p"",,,,,,,,,,,,,"
62,Aaron2871@vitstudent.ac.in,spam   ,"Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p"",,,,,,,,,,,,,"
63,Deborah.Juett@gmail.com,spam   ,"URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only"",,,,,,,,,,,,,"
64,WilliamBays@yahoo.com,spam   ,"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX"",,,,,,,,,,,,,"
65,JohnMartinez@yahoo.com,spam   ,"Loan for any purpose Â£500 - Â£75"",000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help',,,,,,,,,,,,"
66,JohnThurman@yahoo.com,spam   ,"UpgrdCentre Orange customer"", you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available,,,,,,,,,,,,"
67,Robert.Clossin@vitstudent.ac.in,spam   ,"okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"",,,,,,,,,,,,,"
68,HenryMaurey@vitstudent.ac.in,spam   ,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p"",,,,,,,,,,,,,"
69,Josephine9049@vitstudent.ac.in,spam   ,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions"", visit www.07781482378.com,,,,,,,,,,,,"
70,JoannaEstrada@yahoo.com,spam   ,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V"", Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!,,,,,,,,,,"
71,Marilyn.Andrews@yahoo.com,spam   ,"+123 Congratulations - in this week's competition draw u have won the Â£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm"",,,,,,,,,,,,,"
72,WendyWilks@yahoo.com,spam   ,"You are guaranteed the latest Nokia Phone"", a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+,,,,,,,,,,,,"
73,Jaime.Wiltshire@vitstudent.ac.in,spam   ,"Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE"",,,,,,,,,,,,,"
74,Carina.Puckett@yahoo.com,spam   ,"Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz"",,,,,,,,,,,,,"
75,Elizabeth6305@hotmail.com,spam   ,"URGENT!: Your Mobile No. was awarded a Â£2"",000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU,,,,,,,,,,,,"
76,SharonBerndt@hotmail.com,spam   ,"Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob"", member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X,,,,,,,,,,,,"
77,Daniel.Richardson@hotmail.com,spam   ,"You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750"",,,,,,,,,,,,,"
78,Theresa9614@yahoo.com,spam   ,"PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 "",,,,,,,,,,,,,"
79,Franklin9479@yahoo.com,spam   ,"from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop"",,,,,,,,,,,,,"
80,Robin5735@hotmail.com,spam   ,"GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm "",,,,,,,,,,,,,"
81,Kerri5450@hotmail.com,spam   ,"You have won ?1"",000 cash or a ?2,000 prize! To claim, call09050000327,,,,,,,,,,"
82,KatherineOrtiz@gmail.com,spam   ,"our mobile number has won Â£5000"", to claim calls us back or ring the claims hot line on 09050005321.,,,,,,,,,,,,"
83,Norman.Miller@hotmail.com,spam   ,"We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow"",,,,,,,,,,,,,"
84,Jo7809@yahoo.com,spam   ,"For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022"", 1x150p/wk,,,,,,,,,,,,"
85,James.Sanchez@vitstudent.ac.in,spam   ,"You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"",,,,,,,,,,,,,"
86,Debra.Olson@hotmail.com,spam   ,"PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04"",,,,,,,,,,,,,"
87,Roscoe.Thompson@gmail.com,spam   ,"You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!"",,,,,,,,,,,,,"
88,Margaret9308@yahoo.com,spam   ,"XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 "",,,,,,,,,,,,,"
89,John2684@hotmail.com,spam   ,"22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222"",,,,,,,,,,,,,"
90,Wayne.Diffey@hotmail.com,spam   ,"New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693"",,,,,,,,,,,,,"
91,JeannetteBrown@vitstudent.ac.in,spam   ,"Todays Vodafone numbers ending with 4882 are selected to a receive a Â£350 award. If your number matches call 09064019014 to receive your Â£350 award."",,,,,,,,,,,,,"
92,Philip7923@yahoo.com,spam   ,"Dear Voucher Holder"", 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.,,,,,,,,,,,"
93,Kelly.Whitenton@gmail.com,spam   ,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04"",,,,,,,,,,,,,"
94,Ann.Gardner@gmail.com,spam   ,"You have won ?1"",000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm,,,,,,,,,"
95,Jon2537@hotmail.com,spam   ,"88800 and 89034 are premium phone services call 08718711108"",,,,,,,,,,,,,"
96,GregorySomerville@gmail.com,spam   ,"SMS. ac sun0819 posts HELLO:""""You seem cool"","" wanted to say hi. HI!!!"""" Stop? Send STOP to 62468"",,,,,,,,,,,,"
97,MarkThomas@yahoo.com,spam   ,"Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just Â£1.50 per wk 2 opt out send STOP 08452810071 16"",,,,,,,,,,,,,"
98,Johnny.Tharp@hotmail.com,spam   ,"Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+"",,,,,,,,,,,,,"
99,JasonMorgan@vitstudent.ac.in,spam   ,"<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you."",,,,,,,,,,,,,"
100,Grace.James@hotmail.com,spam   ,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia"", go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT,,,,,,,,,,,,"
101,CarlKohn@hotmail.com,spam   ,"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs"",,,,,,,,,,,,,"
102,Edward.Wolfe@hotmail.com,spam   ,"08714712388 between 10am-7pm Cost 10p"",,,,,,,,,,,,,"
103,Jennie1349@hotmail.com,spam   ,"+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON Â£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxÂ£7. 50"",,,,,,,,,,,,,"
104,Nancy.Coulson@gmail.com,spam   ,"You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm"",,,,,,,,,,,,,"
105,Mattie.Fields@gmail.com,spam   ,"Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123"",,,,,,,,,,,,,"
106,Connie.Smith@yahoo.com,spam   ,"Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg"",,,,,,,,,,,,,"
107,Suzanne.Rinderer@hotmail.com,spam   ,"U are subscribed to the best Mobile Content Service in the UK for Â£3 per 10 days until you send STOP to 82324. Helpline 08706091795"",,,,,,,,,,,,,"
108,CynthiaBastianelli@yahoo.com,spam   ,"Do you realize that in about 40 years"", we'll have thousands of old ladies running around with tattoos?,,,,,,,,,,,,"
109,Ashley.Kaelker@gmail.com,spam   ,"You have an important customer service announcement from PREMIER."",,,,,,,,,,,,,"
110,Carmen.Weaver@hotmail.com,spam   ,"Romantic Paris. 2 nights"", 2 flights from Â£79 Book now 4 next year. Call 08704439680Ts&Cs apply.,,,,,,,,,,,,"
111,Maria5808@vitstudent.ac.in,spam   ,"Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF"",,,,,,,,,,,,,"
112,Sherry6414@vitstudent.ac.in,spam   ,"UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub"",,,,,,,,,,,,,"
113,JamesRooker@hotmail.com,spam   ,"You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!"",,,,,,,,,,,,,"
114,ArchieSheehan@hotmail.com,spam   ,"Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)"",,,,,,,,,,,,,"
115,JohnHickman@gmail.com,spam   ,"5 Free Top Polyphonic Tones call 087018728737"", National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, Â£3 per pole. UnSub 08718727870.,,,,,,,,,,"
116,WilliamJohnston@hotmail.com,spam   ,"Orange customer"", you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa,,,,,,,,,,,,"
117,Nathan.Garcia@hotmail.com,spam   ,"Last Chance! Claim ur Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob"", offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Sub. 16,,,,,,,,,,,"
118,Lester3869@vitstudent.ac.in,spam   ,"FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone"",,,,,,,,,,,,,"
119,Fred3852@vitstudent.ac.in,spam   ,"You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX"",,,,,,,,,,,,,"
120,MeganWilliams@yahoo.com,spam   ,"Congratulations ur awarded either Â£500 of CD gift vouchers & Free entry 2 our Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"",,,,,,,,,,,,,"
121,David7171@yahoo.com,spam   ,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again"", visit sms. ac/smsrewards 2 end bid notifications, reply END OUT,,,,,,,,,,,"
122,Wanda.Rojas@yahoo.com,spam   ,"SMSSERVICES. for yourinclusive text credits"", pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE,,,,,,,,,,,"
123,Jed.Busi@hotmail.com,spam   ,"25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity."",,,,,,,,,,,,,"
124,Carol.Akin@vitstudent.ac.in,spam   ,"U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901"",,,,,,,,,,,,,"
125,Gerald6192@gmail.com,spam   ,"Dear Voucher Holder"", To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062,,,,,,,,,,"
126,Diana.Muffley@gmail.com,spam   ,"Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow"",,,,,,,,,,,,,"
127,LindaEakes@yahoo.com,spam   ,"We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed"",,,,,,,,,,,,,"
128,DonaldNeely@gmail.com,spam   ,"Last chance 2 claim ur Â£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. Â£3.00 Sub. 16 . Remove txt X or STOP"",,,,,,,,,,,,,"
129,Amanda4437@vitstudent.ac.in,spam   ,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10"",000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ,,,,,,,,,,,,"
130,BrandonAlsup@gmail.com,spam   ,"Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob"", member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X,,,,,,,,,,,,"
131,Connie.Morris@vitstudent.ac.in,spam   ,"Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet."",,,,,,,,,,,,,"
132,SamanthaRodriguez@gmail.com,spam   ,"Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net Â£1.50pm approx 3mins"",,,,,,,,,,,,,"
133,ChrisJenkins@vitstudent.ac.in,spam   ,"PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04"",,,,,,,,,,,,,"
